INVNO;INVDP;INVW1;INVID;INLIE;INVAR;HILOT;INVSN;INVSC;INVQS;INVSU;INVL1
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007356;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";008641;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";017017;"               ";;2.376;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007930;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012653;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006807;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006852;"               ";;1.914;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007710;"               ";;5;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";013738;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012655;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";019584;"               ";;1;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";016006;"               ";;26;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012872;"               ";;2.26;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012918;"               ";;1.7;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012652;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007957;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";014537;"               ";;2.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009247;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012860;"               ";;2.55;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";004864;"               ";;2.075;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012654;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009246;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007961;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";004529;"               ";;10;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009248;"               ";;2.376;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";008229;"               ";;10;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012873;"               ";;2.26;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012651;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012852;"               ";;2.55;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012861;"               ";;2.55;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012656;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006700;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";013741;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";30313120;"               ";;0;;PQT;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";020494;"               ";;1;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012954;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006698;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007955;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";015528;"               ";;10;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";013739;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009326;"               ";;1.914;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";010427;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007356;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";008641;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";017017;"               ";;2.376;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007930;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012653;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006807;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006852;"               ";;1.914;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007710;"               ";;5;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";013738;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012655;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";019584;"               ";;1;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";016006;"               ";;26;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012872;"               ";;2.26;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012918;"               ";;1.7;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012652;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007957;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";014537;"               ";;2.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009247;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012860;"               ";;2.55;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";004864;"               ";;2.075;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012654;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009246;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007961;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";004529;"               ";;10;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009248;"               ";;2.376;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";008229;"               ";;10;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012873;"               ";;2.26;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012651;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012852;"               ";;2.55;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012861;"               ";;2.55;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012656;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006700;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";013741;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";30313120;"               ";;0;;PQT;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";020494;"               ";;1;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012954;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006698;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007955;"               ";;3.06;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";015528;"               ";;10;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";013739;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";009326;"               ";;1.914;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";010427;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007356;"               ";;2.493;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";008641;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";017017;"               ";;2.376;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007930;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012653;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006807;"               ";;5;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";006852;"               ";;1.914;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";007710;"               ";;5;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";013738;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012655;"               ";;0;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";019584;"               ";;1;;RL(X);N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";016006;"               ";;26;;UN;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012872;"               ";;2.26;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012918;"               ";;1.7;;M2;N
002612;AQA;"A1 01";INV_GEN;"Inventaire test";012652;"               ";;0;;UN;N
